instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hrs
37,2011-01-02,1,0,1,13,False,0,False,2,0.36,0.3485,0.66,0.1343,11,64,75,9.8
38,2011-01-02,1,0,1,14,False,0,False,3,0.36,0.3485,0.76,0.194,4,55,59,9.8
39,2011-01-02,1,0,1,15,False,0,False,3,0.34,0.3333,0.81,0.1642,19,55,74,9.8
40,2011-01-02,1,0,1,16,False,0,False,3,0.34,0.3333,0.71,0.1642,9,67,76,9.8
41,2011-01-02,1,0,1,17,False,0,False,1,0.34,0.3333,0.57,0.194,7,58,65,9.8
42,2011-01-02,1,0,1,18,False,0,False,2,0.36,0.3333,0.46,0.3284,10,43,53,9.8
43,2011-01-02,1,0,1,19,False,0,False,1,0.32,0.2879,0.42,0.4478,1,29,30,9.8
44,2011-01-02,1,0,1,20,False,0,False,1,0.3,0.2727,0.39,0.3582,5,17,22,9.8
45,2011-01-02,1,0,1,21,False,0,False,1,0.26,0.2273,0.44,0.3284,11,20,31,9.8
46,2011-01-02,1,0,1,22,False,0,False,1,0.24,0.2121,0.44,0.2985,0,9,9,9.8
47,2011-01-02,1,0,1,23,False,0,False,1,0.22,0.2273,0.47,0.1642,0,8,8,9.8
48,2011-01-03,1,0,1,0,False,1,True,1,0.22,0.197,0.44,0.3582,0,5,5,9.8
49,2011-01-03,1,0,1,1,False,1,True,1,0.2,0.1667,0.44,0.4179,0,2,2,9.8
50,2011-01-03,1,0,1,4,False,1,True,1,0.16,0.1364,0.47,0.3881,0,1,1,9.8
51,2011-01-03,1,0,1,5,False,1,True,1,0.16,0.1364,0.47,0.2836,0,3,3,9.8
52,2011-01-03,1,0,1,6,False,1,True,1,0.14,0.1061,0.5,0.3881,0,30,30,9.8
53,2011-01-03,1,0,1,7,False,1,True,1,0.14,0.1364,0.5,0.194,1,63,64,9.8
54,2011-01-03,1,0,1,8,False,1,True,1,0.14,0.1212,0.5,0.2836,1,153,154,9.8
55,2011-01-03,1,0,1,9,False,1,True,1,0.16,0.1364,0.43,0.3881,7,81,88,9.8
56,2011-01-03,1,0,1,10,False,1,True,1,0.18,0.1667,0.43,0.2537,11,33,44,9.8
57,2011-01-03,1,0,1,11,False,1,True,1,0.2,0.1818,0.4,0.3284,10,41,51,9.8
58,2011-01-03,1,0,1,12,False,1,True,1,0.22,0.2121,0.35,0.2985,13,48,61,9.8
59,2011-01-03,1,0,1,13,False,1,True,1,0.24,0.2121,0.35,0.2836,8,53,61,9.8
60,2011-01-03,1,0,1,14,False,1,True,1,0.26,0.2424,0.3,0.2836,11,66,77,9.8
61,2011-01-03,1,0,1,15,False,1,True,1,0.26,0.2424,0.3,0.2537,14,58,72,9.8
62,2011-01-03,1,0,1,16,False,1,True,1,0.26,0.2424,0.3,0.2537,9,67,76,9.8
63,2011-01-03,1,0,1,17,False,1,True,1,0.24,0.2273,0.3,0.2239,11,146,157,9.8
64,2011-01-03,1,0,1,18,False,1,True,1,0.24,0.2576,0.32,0.1045,9,148,157,9.8
65,2011-01-03,1,0,1,19,False,1,True,1,0.2,0.2576,0.47,0.0,8,102,110,9.8
66,2011-01-03,1,0,1,20,False,1,True,1,0.2,0.2273,0.47,0.1045,3,49,52,9.8
67,2011-01-03,1,0,1,21,False,1,True,1,0.18,0.197,0.64,0.1343,3,49,52,9.8
68,2011-01-03,1,0,1,22,False,1,True,1,0.14,0.1515,0.69,0.1343,0,20,20,9.8
69,2011-01-03,1,0,1,23,False,1,True,1,0.18,0.2121,0.55,0.1045,1,11,12,9.8
70,2011-01-04,1,0,1,0,False,2,True,1,0.16,0.1818,0.55,0.1045,0,5,5,9.8
71,2011-01-04,1,0,1,1,False,2,True,1,0.16,0.1818,0.59,0.1045,0,2,2,9.8
72,2011-01-04,1,0,1,2,False,2,True,1,0.14,0.1515,0.63,0.1343,0,1,1,9.8
73,2011-01-04,1,0,1,4,False,2,True,1,0.14,0.1818,0.63,0.0896,0,2,2,9.8
74,2011-01-04,1,0,1,5,False,2,True,1,0.12,0.1515,0.68,0.1045,0,4,4,9.8
75,2011-01-04,1,0,1,6,False,2,True,1,0.12,0.1515,0.74,0.1045,0,36,36,9.8
76,2011-01-04,1,0,1,7,False,2,True,1,0.12,0.1515,0.74,0.1343,2,92,94,9.8
77,2011-01-04,1,0,1,8,False,2,True,1,0.14,0.1515,0.69,0.1642,2,177,179,9.8
78,2011-01-04,1,0,1,9,False,2,True,1,0.16,0.1515,0.64,0.2239,2,98,100,9.8
79,2011-01-04,1,0,1,10,False,2,True,2,0.16,0.1364,0.69,0.3284,5,37,42,9.8
80,2011-01-04,1,0,1,11,False,2,True,1,0.22,0.2121,0.51,0.2985,7,50,57,9.8
81,2011-01-04,1,0,1,12,False,2,True,1,0.22,0.2273,0.51,0.1642,12,66,78,9.8
82,2011-01-04,1,0,1,13,False,2,True,1,0.24,0.2273,0.56,0.194,18,79,97,9.8
83,2011-01-04,1,0,1,14,False,2,True,1,0.26,0.2576,0.52,0.2239,9,54,63,9.8
84,2011-01-04,1,0,1,15,False,2,True,1,0.28,0.2727,0.52,0.2537,17,48,65,9.8
85,2011-01-04,1,0,1,16,False,2,True,1,0.3,0.2879,0.49,0.2537,15,68,83,9.8
86,2011-01-04,1,0,1,17,False,2,True,1,0.28,0.2727,0.48,0.2239,10,202,212,9.8
87,2011-01-04,1,0,1,18,False,2,True,1,0.26,0.2576,0.48,0.194,3,179,182,9.8
88,2011-01-04,1,0,1,19,False,2,True,1,0.24,0.2576,0.48,0.1045,2,110,112,9.8
89,2011-01-04,1,0,1,20,False,2,True,1,0.24,0.2576,0.48,0.1045,1,53,54,9.8
90,2011-01-04,1,0,1,21,False,2,True,1,0.22,0.2727,0.64,0.0,0,48,48,9.8
91,2011-01-04,1,0,1,22,False,2,True,1,0.22,0.2576,0.64,0.0896,1,34,35,9.8
92,2011-01-04,1,0,1,23,False,2,True,1,0.2,0.2273,0.69,0.0896,2,9,11,9.8
93,2011-01-05,1,0,1,0,False,3,True,1,0.2,0.2576,0.64,0.0,0,6,6,9.8
94,2011-01-05,1,0,1,1,False,3,True,1,0.16,0.197,0.74,0.0896,0,6,6,9.8
95,2011-01-05,1,0,1,2,False,3,True,1,0.16,0.197,0.74,0.0896,0,2,2,9.8
96,2011-01-05,1,0,1,4,False,3,True,1,0.24,0.2273,0.48,0.2239,0,2,2,9.8
97,2011-01-05,1,0,1,5,False,3,True,1,0.22,0.2273,0.47,0.1642,0,3,3,9.8
98,2011-01-05,1,0,1,6,False,3,True,1,0.2,0.197,0.47,0.2239,0,33,33,9.8
99,2011-01-05,1,0,1,7,False,3,True,1,0.18,0.1818,0.43,0.194,1,87,88,9.8
100,2011-01-05,1,0,1,8,False,3,True,1,0.2,0.1818,0.4,0.2985,3,192,195,9.8
101,2011-01-05,1,0,1,9,False,3,True,1,0.22,0.197,0.37,0.3284,6,109,115,9.8
102,2011-01-05,1,0,1,10,False,3,True,1,0.22,0.197,0.37,0.3284,4,53,57,9.8
103,2011-01-05,1,0,1,11,False,3,True,1,0.26,0.2273,0.33,0.3284,12,34,46,9.8
104,2011-01-05,1,0,1,12,False,3,True,1,0.26,0.2273,0.33,0.3284,5,74,79,9.8
105,2011-01-05,1,0,1,13,False,3,True,1,0.28,0.2576,0.3,0.2985,6,65,71,9.8
106,2011-01-05,1,0,1,14,False,3,True,1,0.3,0.2879,0.28,0.194,10,52,62,9.8
107,2011-01-05,1,0,1,15,False,3,True,1,0.3,0.2879,0.28,0.194,7,55,62,9.8
108,2011-01-05,1,0,1,16,False,3,True,1,0.3,0.3182,0.28,0.0896,4,85,89,9.8
109,2011-01-05,1,0,1,17,False,3,True,1,0.24,0.2273,0.38,0.194,4,186,190,9.8
110,2011-01-05,1,0,1,18,False,3,True,1,0.24,0.2424,0.38,0.1343,3,166,169,9.8
111,2011-01-05,1,0,1,19,False,3,True,1,0.24,0.2576,0.38,0.1045,5,127,132,9.8
112,2011-01-05,1,0,1,20,False,3,True,1,0.22,0.2273,0.47,0.1642,7,82,89,9.8
113,2011-01-05,1,0,1,21,False,3,True,1,0.2,0.197,0.51,0.194,3,40,43,9.8
114,2011-01-05,1,0,1,22,False,3,True,1,0.18,0.197,0.55,0.1343,1,41,42,9.8
115,2011-01-05,1,0,1,23,False,3,True,1,0.2,0.2576,0.47,0.0,1,18,19,9.8
116,2011-01-06,1,0,1,0,False,4,True,1,0.18,0.2424,0.55,0.0,0,11,11,9.8
117,2011-01-06,1,0,1,1,False,4,True,1,0.16,0.2273,0.64,0.0,0,4,4,9.8
118,2011-01-06,1,0,1,2,False,4,True,1,0.16,0.2273,0.64,0.0,0,2,2,9.8
119,2011-01-06,1,0,1,4,False,4,True,2,0.16,0.197,0.64,0.0896,0,1,1,9.8
120,2011-01-06,1,0,1,5,False,4,True,2,0.14,0.1818,0.69,0.0896,0,4,4,9.8
121,2011-01-06,1,0,1,6,False,4,True,2,0.14,0.1667,0.63,0.1045,0,36,36,9.8
122,2011-01-06,1,0,1,7,False,4,True,2,0.16,0.2273,0.59,0.0,0,95,95,9.8
123,2011-01-06,1,0,1,8,False,4,True,1,0.16,0.2273,0.59,0.0,3,216,219,9.8
124,2011-01-06,1,0,1,9,False,4,True,2,0.18,0.2424,0.51,0.0,6,116,122,9.8
125,2011-01-06,1,0,1,10,False,4,True,1,0.2,0.2576,0.47,0.0,3,42,45,9.8
126,2011-01-06,1,0,1,11,False,4,True,1,0.22,0.2576,0.44,0.0896,2,57,59,9.8
127,2011-01-06,1,0,1,12,False,4,True,1,0.26,0.2879,0.35,0.0,6,78,84,9.8
128,2011-01-06,1,0,1,13,False,4,True,1,0.26,0.2727,0.35,0.1045,12,55,67,9.8
129,2011-01-06,1,0,1,14,False,4,True,1,0.28,0.2727,0.36,0.1642,11,59,70,9.8
130,2011-01-06,1,0,1,15,False,4,True,1,0.28,0.2727,0.36,0.0,8,54,62,9.8
131,2011-01-06,1,0,1,16,False,4,True,1,0.26,0.2576,0.38,0.1642,12,74,86,9.8
132,2011-01-06,1,0,1,17,False,4,True,1,0.22,0.2273,0.51,0.1642,9,163,172,9.8
133,2011-01-06,1,0,1,18,False,4,True,1,0.22,0.2273,0.51,0.1343,5,158,163,9.8
134,2011-01-06,1,0,1,19,False,4,True,1,0.22,0.2576,0.55,0.0896,3,109,112,9.8
135,2011-01-06,1,0,1,20,False,4,True,1,0.2,0.2121,0.51,0.1642,3,66,69,9.8
136,2011-01-06,1,0,1,21,False,4,True,2,0.22,0.2121,0.55,0.2239,0,48,48,9.8
137,2011-01-06,1,0,1,22,False,4,True,2,0.22,0.2121,0.51,0.2836,1,51,52,9.8
138,2011-01-06,1,0,1,23,False,4,True,2,0.2,0.197,0.59,0.194,4,19,23,9.8
139,2011-01-07,1,0,1,0,False,5,True,2,0.2,0.197,0.64,0.194,4,13,17,9.8
140,2011-01-07,1,0,1,1,False,5,True,2,0.2,0.197,0.69,0.2239,2,5,7,9.8
141,2011-01-07,1,0,1,2,False,5,True,2,0.2,0.197,0.69,0.2239,0,1,1,9.8
142,2011-01-07,1,0,1,4,False,5,True,2,0.2,0.2121,0.69,0.1343,0,1,1,9.8
143,2011-01-07,1,0,1,5,False,5,True,3,0.22,0.2727,0.55,0.0,0,5,5,9.8
144,2011-01-07,1,0,1,6,False,5,True,2,0.2,0.2576,0.69,0.0,8,26,34,9.8
145,2011-01-07,1,0,1,7,False,5,True,1,0.2,0.2121,0.69,0.1343,8,76,84,9.8
146,2011-01-07,1,0,1,8,False,5,True,1,0.2,0.197,0.51,0.2537,20,190,210,9.8
147,2011-01-07,1,0,1,9,False,5,True,1,0.2,0.1818,0.47,0.2985,9,125,134,9.8
148,2011-01-07,1,0,1,10,False,5,True,1,0.22,0.197,0.37,0.3284,16,47,63,9.8
149,2011-01-07,1,0,1,11,False,5,True,2,0.2,0.197,0.4,0.2239,19,48,67,9.8
150,2011-01-07,1,0,1,12,False,5,True,2,0.2,0.197,0.37,0.2537,9,50,59,9.8
151,2011-01-07,1,0,1,13,False,5,True,2,0.2,0.1818,0.37,0.2836,9,64,73,9.8
152,2011-01-07,1,0,1,14,False,5,True,2,0.2,0.197,0.4,0.2537,7,43,50,9.8
153,2011-01-07,1,0,1,15,False,5,True,2,0.2,0.2121,0.37,0.1642,9,63,72,9.8
154,2011-01-07,1,0,1,16,False,5,True,2,0.2,0.2121,0.37,0.1642,5,82,87,9.8
155,2011-01-07,1,0,1,17,False,5,True,2,0.2,0.2576,0.37,0.0,9,178,187,9.8
156,2011-01-07,1,0,1,18,False,5,True,1,0.2,0.2273,0.4,0.0896,7,116,123,9.8
157,2011-01-07,1,0,1,19,False,5,True,1,0.16,0.197,0.55,0.0896,3,92,95,9.8
158,2011-01-07,1,0,1,20,False,5,True,1,0.18,0.2121,0.47,0.1045,1,50,51,9.8
159,2011-01-07,1,0,1,21,False,5,True,1,0.18,0.197,0.47,0.1343,0,39,39,9.8
160,2011-01-07,1,0,1,22,False,5,True,2,0.18,0.197,0.43,0.1642,2,34,36,9.8
161,2011-01-07,1,0,1,23,False,5,True,2,0.18,0.197,0.51,0.1642,1,14,15,9.8
162,2011-01-08,1,0,1,0,False,6,False,2,0.18,0.197,0.51,0.1642,1,24,25,9.8
163,2011-01-08,1,0,1,1,False,6,False,2,0.18,0.2121,0.55,0.0896,1,15,16,9.8
164,2011-01-08,1,0,1,2,False,6,False,2,0.18,0.2424,0.55,0.0,3,13,16,9.8
165,2011-01-08,1,0,1,3,False,6,False,3,0.18,0.197,0.55,0.1642,0,7,7,9.8
166,2011-01-08,1,0,1,4,False,6,False,3,0.18,0.197,0.55,0.1642,0,1,1,9.8
167,2011-01-08,1,0,1,5,False,6,False,2,0.16,0.1667,0.74,0.1642,0,5,5,9.8
168,2011-01-08,1,0,1,6,False,6,False,2,0.16,0.1667,0.74,0.1642,0,2,2,9.8
169,2011-01-08,1,0,1,7,False,6,False,2,0.16,0.1818,0.74,0.1045,1,8,9,9.8
170,2011-01-08,1,0,1,8,False,6,False,3,0.16,0.1818,0.93,0.1045,0,15,15,9.8
171,2011-01-08,1,0,1,9,False,6,False,3,0.16,0.1818,0.93,0.1045,0,20,20,9.8
172,2011-01-08,1,0,1,10,False,6,False,2,0.18,0.197,0.8,0.1642,5,56,61,9.8
173,2011-01-08,1,0,1,11,False,6,False,2,0.2,0.1818,0.69,0.3881,2,60,62,9.8
174,2011-01-08,1,0,1,12,False,6,False,2,0.2,0.1818,0.59,0.3582,8,90,98,9.8
175,2011-01-08,1,0,1,13,False,6,False,1,0.2,0.1818,0.44,0.3284,7,95,102,9.8
176,2011-01-08,1,0,1,14,False,6,False,1,0.2,0.1667,0.32,0.4925,12,83,95,9.8
177,2011-01-08,1,0,1,15,False,6,False,1,0.2,0.1667,0.32,0.4478,5,69,74,9.8
178,2011-01-08,1,0,1,16,False,6,False,1,0.18,0.1364,0.29,0.4478,8,68,76,9.8
179,2011-01-08,1,0,1,17,False,6,False,1,0.16,0.1212,0.37,0.5522,5,64,69,9.8
180,2011-01-08,1,0,1,18,False,6,False,1,0.14,0.1212,0.39,0.2985,3,52,55,9.8
181,2011-01-08,1,0,1,19,False,6,False,1,0.14,0.1212,0.36,0.2537,4,26,30,9.8
182,2011-01-08,1,0,1,20,False,6,False,1,0.12,0.1212,0.36,0.2537,0,28,28,9.8
183,2011-01-08,1,0,1,21,False,6,False,1,0.12,0.1061,0.39,0.3582,2,35,37,9.8
184,2011-01-08,1,0,1,22,False,6,False,1,0.12,0.1061,0.36,0.3881,1,33,34,9.8
185,2011-01-08,1,0,1,23,False,6,False,1,0.1,0.0606,0.39,0.4478,0,22,22,9.8
186,2011-01-09,1,0,1,0,False,0,False,1,0.1,0.0758,0.42,0.3881,1,24,25,9.8
187,2011-01-09,1,0,1,1,False,0,False,1,0.1,0.0606,0.42,0.4627,0,12,12,9.8
188,2011-01-09,1,0,1,2,False,0,False,1,0.1,0.0606,0.46,0.4627,0,11,11,9.8
189,2011-01-09,1,0,1,3,False,0,False,1,0.1,0.0758,0.46,0.4179,0,4,4,9.8
190,2011-01-09,1,0,1,4,False,0,False,1,0.08,0.0909,0.53,0.194,0,1,1,9.8
191,2011-01-09,1,0,1,5,False,0,False,1,0.08,0.0909,0.53,0.194,0,1,1,9.8
192,2011-01-09,1,0,1,6,False,0,False,1,0.1,0.0909,0.49,0.2836,0,1,1,9.8
193,2011-01-09,1,0,1,7,False,0,False,1,0.08,0.0909,0.53,0.194,1,5,6,9.8
194,2011-01-09,1,0,1,8,False,0,False,1,0.1,0.0909,0.49,0.2836,0,10,10,9.8
195,2011-01-09,1,0,1,9,False,0,False,1,0.12,0.0758,0.46,0.5224,0,19,19,9.8
196,2011-01-09,1,0,1,10,False,0,False,1,0.14,0.1061,0.43,0.3881,0,49,49,9.8
197,2011-01-09,1,0,1,11,False,0,False,1,0.16,0.1212,0.4,0.5224,2,47,49,9.8
198,2011-01-09,1,0,1,12,False,0,False,1,0.18,0.1364,0.37,0.4478,4,79,83,9.8
199,2011-01-09,1,0,1,13,False,0,False,1,0.2,0.1667,0.34,0.4478,6,69,75,9.8
200,2011-01-09,1,0,1,14,False,0,False,1,0.22,0.1818,0.32,0.4627,8,64,72,9.8
201,2011-01-09,1,0,1,15,False,0,False,1,0.22,0.197,0.35,0.3582,5,77,82,9.8
202,2011-01-09,1,0,1,16,False,0,False,1,0.2,0.1667,0.34,0.4478,13,79,92,9.8
203,2011-01-09,1,0,1,17,False,0,False,1,0.18,0.1515,0.37,0.3881,3,59,62,9.8
204,2011-01-09,1,0,1,18,False,0,False,1,0.16,0.1364,0.4,0.3284,4,44,48,9.8
205,2011-01-09,1,0,1,19,False,0,False,1,0.16,0.1364,0.43,0.3284,1,40,41,9.8
206,2011-01-09,1,0,1,20,False,0,False,1,0.14,0.1212,0.46,0.2537,0,38,38,9.8
207,2011-01-09,1,0,1,21,False,0,False,1,0.14,0.1061,0.46,0.4179,1,19,20,9.8
208,2011-01-09,1,0,1,22,False,0,False,1,0.14,0.1212,0.46,0.2985,5,10,15,9.8
209,2011-01-09,1,0,1,23,False,0,False,1,0.12,0.1364,0.5,0.194,0,6,6,9.8
210,2011-01-10,1,0,1,0,False,1,True,1,0.12,0.1212,0.5,0.2836,2,3,5,9.8
211,2011-01-10,1,0,1,1,False,1,True,1,0.12,0.1212,0.5,0.2836,1,0,1,9.8
212,2011-01-10,1,0,1,2,False,1,True,1,0.12,0.1212,0.5,0.2239,0,3,3,9.8
213,2011-01-10,1,0,1,3,False,1,True,1,0.12,0.1212,0.5,0.2239,0,1,1,9.8
214,2011-01-10,1,0,1,4,False,1,True,1,0.1,0.1212,0.54,0.1343,1,2,3,9.8
215,2011-01-10,1,0,1,5,False,1,True,1,0.1,0.1061,0.54,0.2537,0,3,3,9.8
216,2011-01-10,1,0,1,6,False,1,True,1,0.12,0.1212,0.5,0.2836,0,31,31,9.8
217,2011-01-10,1,0,1,7,False,1,True,1,0.12,0.1212,0.5,0.2239,2,75,77,9.8
218,2011-01-10,1,0,1,8,False,1,True,2,0.12,0.1212,0.5,0.2836,4,184,188,9.8
219,2011-01-10,1,0,1,9,False,1,True,2,0.14,0.1212,0.5,0.2537,2,92,94,9.8
220,2011-01-10,1,0,1,10,False,1,True,2,0.14,0.1212,0.5,0.2985,0,31,31,9.8
221,2011-01-10,1,0,1,11,False,1,True,2,0.16,0.1364,0.47,0.2836,2,28,30,9.8
222,2011-01-10,1,0,1,12,False,1,True,2,0.2,0.1818,0.4,0.2836,5,47,52,9.8
223,2011-01-10,1,0,1,13,False,1,True,2,0.2,0.1818,0.4,0.2836,4,50,54,9.8
224,2011-01-10,1,0,1,14,False,1,True,2,0.2,0.197,0.4,0.2239,0,47,47,9.8
225,2011-01-10,1,0,1,15,False,1,True,2,0.2,0.197,0.4,0.2239,2,43,45,9.8
226,2011-01-10,1,0,1,16,False,1,True,1,0.2,0.2121,0.4,0.1343,4,70,74,9.8
227,2011-01-10,1,0,1,17,False,1,True,1,0.2,0.2273,0.4,0.1045,4,174,178,9.8
228,2011-01-10,1,0,1,18,False,1,True,1,0.2,0.197,0.4,0.2239,1,154,155,9.8
229,2011-01-10,1,0,1,19,False,1,True,1,0.16,0.1667,0.47,0.1642,3,92,95,9.8
230,2011-01-10,1,0,1,20,False,1,True,1,0.16,0.1667,0.5,0.1642,1,73,74,9.8
231,2011-01-10,1,0,1,21,False,1,True,1,0.14,0.1364,0.59,0.194,1,37,38,9.8
232,2011-01-10,1,0,1,22,False,1,True,1,0.14,0.1515,0.59,0.1642,2,22,24,9.8
233,2011-01-10,1,0,1,23,False,1,True,1,0.14,0.1515,0.59,0.1642,0,18,18,9.8
234,2011-01-11,1,0,1,0,False,2,True,1,0.14,0.1667,0.59,0.1045,2,10,12,9.8
235,2011-01-11,1,0,1,1,False,2,True,1,0.14,0.1515,0.59,0.1642,0,3,3,9.8
236,2011-01-11,1,0,1,2,False,2,True,2,0.16,0.1515,0.55,0.194,0,3,3,9.8
237,2011-01-11,1,0,1,5,False,2,True,2,0.16,0.1818,0.55,0.1343,0,6,6,9.8
238,2011-01-11,1,0,1,6,False,2,True,2,0.16,0.1818,0.55,0.1343,0,27,27,9.8
239,2011-01-11,1,0,1,7,False,2,True,2,0.16,0.2273,0.55,0.0,2,97,99,9.8
240,2011-01-11,1,0,1,8,False,2,True,2,0.18,0.2121,0.51,0.0896,3,214,217,9.8
241,2011-01-11,1,0,1,9,False,2,True,2,0.18,0.197,0.51,0.1642,3,127,130,9.8
242,2011-01-11,1,0,1,10,False,2,True,2,0.2,0.2121,0.51,0.1642,3,51,54,9.8
243,2011-01-11,1,0,1,11,False,2,True,2,0.2,0.2121,0.47,0.1343,4,31,35,9.8
244,2011-01-11,1,0,1,12,False,2,True,2,0.2,0.2273,0.51,0.1045,2,55,57,9.8
245,2011-01-11,1,0,1,13,False,2,True,2,0.2,0.2273,0.59,0.0896,6,46,52,9.8
246,2011-01-11,1,0,1,14,False,2,True,2,0.2,0.2273,0.59,0.0896,3,60,63,9.8
247,2011-01-11,1,0,1,15,False,2,True,2,0.16,0.197,0.8,0.0896,2,45,47,9.8
248,2011-01-11,1,0,1,16,False,2,True,2,0.16,0.1515,0.86,0.2239,4,72,76,9.8
249,2011-01-11,1,0,1,17,False,2,True,2,0.16,0.1515,0.86,0.2239,6,130,136,9.8
250,2011-01-11,1,0,1,18,False,2,True,3,0.16,0.1818,0.93,0.1045,1,94,95,9.8
251,2011-01-11,1,0,1,19,False,2,True,3,0.16,0.2273,0.93,0.0,0,51,51,9.8
252,2011-01-11,1,0,1,20,False,2,True,3,0.16,0.1515,0.93,0.194,0,32,32,9.8
253,2011-01-11,1,0,1,21,False,2,True,3,0.16,0.197,0.86,0.0896,0,20,20,9.8
254,2011-01-11,1,0,1,22,False,2,True,3,0.16,0.1818,0.93,0.1045,1,28,29,9.8
255,2011-01-11,1,0,1,23,False,2,True,3,0.16,0.197,0.93,0.0896,1,18,19,9.8
256,2011-01-12,1,0,1,0,False,3,True,2,0.16,0.197,0.86,0.0896,0,7,7,9.8
257,2011-01-12,1,0,1,1,False,3,True,2,0.16,0.1818,0.86,0.1045,0,6,6,9.8
258,2011-01-12,1,0,1,2,False,3,True,1,0.14,0.1515,0.86,0.1343,0,1,1,9.8
259,2011-01-12,1,0,1,5,False,3,True,1,0.14,0.1515,0.86,0.1642,0,5,5,9.8
260,2011-01-12,1,0,1,6,False,3,True,1,0.12,0.1515,0.93,0.1343,0,16,16,9.8
261,2011-01-12,1,0,1,7,False,3,True,1,0.14,0.1515,0.69,0.1343,0,54,54,9.8
262,2011-01-12,1,0,1,8,False,3,True,1,0.16,0.1667,0.59,0.1642,3,125,128,9.8
263,2011-01-12,1,0,1,9,False,3,True,1,0.16,0.1364,0.59,0.3284,3,78,81,9.8
